Richa; Fri Apr 04 09:55:20 GMT+01:00 2014; 51.5262 N  0.0770 W; Shoreditch (parish); NICHOL;  Old Nichol WEB; 2; 2
Richa; Fri Apr 04 09:55:20 GMT+01:00 2014; 51.5262 N  0.0770 W; Shoreditch (parish); CHURCH;  Shoreditch High Street WORDS; 1; 5
Sophie; Fri Mar 28 11:39:17 GMT 2014; 51.5270 N  0.1028 W; City University London; CITY;  Stephen Robertson (computer scientist) WEB; 5; 11
Sophie; Fri Mar 28 11:39:17 GMT 2014; 51.5270 N  0.1028 W; City University London; EDUCATION;  City Law School WORDS; 5; 8
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; IVY;  The Ivy WORDS; 1; 1
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; IVY;  The Ivy WORDS; 1; 1
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; ESTABLISHMENT;  Foyles WORDS; 1; 2
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; BUILDINGS;  St Giles in the Fields WEB; 7; 12
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; BUILDING’S;  Westbourne Studios WORDS; 1; 1
Sophie; Thu Apr 03 14:37:47 GMT+01:00 2014; 51.5645 N  0.1040 W; Finsbury Park station; TRANSPORT;  London Buses route W7 WEB; 5; 9
Sophie; Thu Apr 03 14:43:10 GMT+01:00 2014; 51.5529 N  0.0980 W; Highbury; FYSH;  Philip Fysh WORDS; 1; 1
Sui; Fri Mar 28 10:14:38 GMT+00:00 2014; 51.5281 N  0.1045 W; Spa Green Estate; LAW;  William Blair (judge) WORDS; 1; 10
Sui; Fri Mar 28 10:17:58 GMT+00:00 2014; 51.5271 N  0.1027 W; City University London; ISLINGTON;  Clerkenwell WEB; 2; 7
Sui; Fri Mar 28 10:17:58 GMT+00:00 2014; 51.5271 N  0.1027 W; City University London; MUSEUM;  Finsbury Estate WORDS; 2; 3
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; PARK;  Oak Hill Park (Barnet) WEB; 14; 17
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; BARNET;  Theresa Villiers WEB; 1; 36
Sui; Sun Mar 30 12:20:02 BST 2014; 51.6461 N  0.1684 W; New Barnet; BOROUGH;  Tudor Sports Ground WORDS; 12; 27
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; OAK;  Oakleigh Park Rail Cutting WEB; 3; 5
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; TOUCH;  New Barnet railway station WEB; 2; 2
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; SHIELD;  East Barnet Urban District WEB; 1; 1
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; STATION;  New Barnet railway station WEB; 10; 10
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; URBAN;  East Barnet Urban District WEB; 2; 2
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; PARK;  Oak Hill Park (Barnet) WEB; 14; 17
Sui; Mon Mar 31 23:23:05 BST 2014; 51.6453 N  0.1677 W; New Barnet; GREEN;  Victoria Recreation Ground, Barnet WEB; 2; 5
Sui; Mon Mar 31 23:23:05 BST 2014; 51.6453 N  0.1677 W; New Barnet; BROOK;  Monken Hadley Common WEB; 2; 6
Sui; Mon Mar 31 23:28:04 BST 2014; 51.6455 N  0.1681 W; New Barnet; ABBEY;  East Barnet Urban District WEB; 1; 2
Sui; Tue Apr 01 09:17:51 BST 2014; 51.6315 N  0.1771 W; Oakleigh Park; WOODSIDE;  Totteridge Green WEB; 5; 9
Sui; Tue Apr 01 09:17:51 BST 2014; 51.6315 N  0.1771 W; Oakleigh Park; FINCHLEY;  West Finchley tube station WEB; 10; 13
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; COCKFOSTERS;  Trent School Cockfosters WEB; 7; 8
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; COCKFOSTERS;  Cockfosters tube station WEB; 6; 8
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BATTLE;  Cyril Frisby WEB; 1; 2
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BATTLE;  East Barnet Urban District WEB; 2; 2
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; JEWISH;  JCoSS WEB; 1; 1
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BARNET;  High Barnet tube station WEB; 13; 36
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BARNET;  Museum of Domestic Design and Architecture WEB; 16; 36
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; BURIAL;  Bell's Hill Burial Ground WEB; 1; 1
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; ARKLEY;  Barnet Gate Wood WEB; 1; 10
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; WHITINGS;  Whitings Hill Open Space WEB; 1; 1
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; HOSPITAL;  2011–12 FA Cup WEB; 1; 6
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; MEADOW;  Rowley Lodge Field WEB; 2; 5
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; HOSPITAL;  Charles Symonds WEB; 3; 6
Sui; Wed Apr 02 16:09:25 BST 2014; 51.6446 N  0.2185 W; Whitings Hill Open Space; LOCAL;  Rainbow George Weiss WEB; 2; 17
Sui; Wed Apr 02 16:13:19 BST 2014; 51.6452 N  0.2183 W; Whitings Hill Open Space; WAR;  Henry Everard WEB; 7; 8
Sui; Wed Apr 02 16:13:19 BST 2014; 51.5179 N  0.1190 W; High Holborn; HOTEL;  High Holborn WEB; 1; 3
Sui; Wed Apr 02 16:13:19 BST 2014; 51.5179 N  0.1190 W; High Holborn; TRAMWAY;  Holborn tramway station WEB; 1; 3
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; SQUARE;  William Chadwell Mylne WEB; 1; 5
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; CHANCERY;  John Wagstaffe WEB; 1; 4
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; HOLBORN;  Weston's Music Hall WEB; 19; 25
Sui; Thu Apr 03 08:54:17 BST 2014; 51.5186 N  0.1196 W; Red Lion Square; CENTRAL;  Southampton Row WEB; 9; 14
Sui; Thu Apr 03 08:54:17 BST 2014; 51.5186 N  0.1196 W; Red Lion Square; LIES;  Holborn and Covent Garden (ward) WEB; 1; 1
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; HOLBORN;  St Giles District (Metropolis) WEB; 12; 26
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; CITY;  John Tusa WEB; 1; 8
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; MUSIC;  List of concert halls WORDS; 1; 8
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; LIST;  List of concert halls WORDS; 4; 4
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; ENTERTAINMENT;  Music hall WEB; 1; 1
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5176 N  0.1189 W; Ship Tavern, London; MARBLE;  Princess Louise (pub) WORDS; 1; 2
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5176 N  0.1189 W; Ship Tavern, London; VICTORIAN;  Finch Hill WEB; 1; 2
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5269 N  0.1055 W; City Law School; PAKISTAN;  Hamid Nasir Chattha WEB; 4; 14
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5269 N  0.1055 W; City Law School; SCHOOL;  Paul Curran (geographer) WEB; 4; 10
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; BARRISTERS;  City Law School WORDS; 1; 1
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; PRIME;  Tony Blair WEB; 10; 12
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; SECTION;  St John Ambulance Cadets in the UK WEB; 1; 2
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; NEHRU;  Jawaharlal Nehru WEB; 2; 2
Susan; Thu Mar 27 14:19:21 GMT 2014; 51.5276 N  0.1042 W; City Law School; CITY;  Northampton Square WEB; 7; 11
Susan; Thu Mar 27 14:19:21 GMT 2014; 51.5276 N  0.1042 W; City Law School; LAW;  City Law School WORDS; 10; 10
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); MIGRAINE;  National Migraine Centre WEB; 1; 1
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); SMITHFIELD;  Smithfield, London WORDS; 12; 12
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); MARKET;  Smithfield, London WEB; 4; 4
Susan; Thu Mar 27 14:56:22 GMT 2014; 51.5200 N  0.1016 W; St. John (restaurant); CHARTERHOUSE;  Charterhouse Street WEB; 8; 8
Susan; Thu Mar 27 15:09:54 GMT 2014; 51.5094 N  0.1035 W; Blackfriars Railway Bridge; BLACKFRIARS;  Blackfriars Bridge railway station WEB; 7; 10
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; ELEPHANT;  Elephant & Castle railway station WEB; 13; 14
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; CORONET;  The Coronet WEB; 1; 1
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; PASSPORT;  Hannibal House WORDS; 1; 1
Susan; Thu Mar 27 15:15:42 GMT 2014; 51.4935 N  0.0986 W; Strata SE1; PASSPORT;  Hannibal House WEB; 1; 1
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; BICKLEY;  Bickley WEB; 8; 9
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; WILLETT;  Derwent House WORDS; 1; 1
Susan; Thu Mar 27 16:35:08 GMT 2014; 51.4110 N  0.0514 E; Bullers Wood School; WILLETT;  Derwent House WORDS; 1; 1
Susan; Thu Mar 27 20:43:49 GMT 2014; 51.4115 N  0.0522 E; Bullers Wood School; ELMSTEAD;  Elmstead WORDS; 4; 4
Susan; Thu Mar 27 20:43:49 GMT 2014; 51.4115 N  0.0522 E; Bullers Wood School; WILLETT;  Derwent House WEB; 1; 1
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; SOUTH;  Nigel Farage WORDS; 4; 11
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; UKIP;  Nigel Farage WORDS; 1; 1
Susan; Thu Mar 27 22:33:52 GMT 2014; 51.4109 N  0.0512 E; Bullers Wood School; FARAGE;  Nigel Farage WEB; 1; 1
Susan; Fri Mar 28 14:36:07 GMT 2014; 51.3999 N  0.0193 E; Bromley South railway station; BROMLEY;  Graham Kitchener WORDS; 18; 61
Susan; Fri Mar 28 15:33:02 GMT 2014; 51.3987 N  0.0200 E; Bromley South railway station; MALL;  The Mall (Bromley) WEB; 2; 2
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; CAMDEN;  William Camden WORDS; 1; 2
