Richa; Mon Mar 31 17:49:08 GMT+01:00 2014; 51.5178 N  0.1821 W; Bishop's Bridge; WAR; 38; MAGENTA; 4; 50
Richa; Mon Mar 31 18:36:31 GMT+01:00 2014; 51.5854 N  0.1114 W; Hornsey railway station; SCHOOL; 31; CYAN; 15; 49
Richa; Fri Apr 04 09:55:20 GMT+01:00 2014; 51.5262 N  0.0770 W; Shoreditch (parish); ATC; 26; BLACK; 23; 50
Richa; Fri Apr 04 09:55:20 GMT+01:00 2014; 51.5262 N  0.0770 W; Shoreditch (parish); NICHOL; 40; GREEN; 4; 50
Richa; Fri Apr 04 09:55:20 GMT+01:00 2014; 51.5262 N  0.0770 W; Shoreditch (parish); CHURCH; 54; BLACK; 1; 50
Sophie; Fri Mar 28 11:36:39 GMT 2014; 51.5271 N  0.1028 W; City University London; CITY; 70; GREEN; 1; 50
Sophie; Fri Mar 28 11:39:17 GMT 2014; 51.5270 N  0.1028 W; City University London; CITY; 70; CYAN; 1; 50
Sophie; Fri Mar 28 11:39:17 GMT 2014; 51.5270 N  0.1028 W; City University London; EDUCATION; 28; BLACK; 17; 50
Sophie; Fri Mar 28 11:43:02 GMT 2014; 51.5269 N  0.1029 W; City University London; BOROUGH; 28; CYAN; 13; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; LISTED; 26; CYAN; 28; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; BOOKSHOP; 27; BLACK; 23; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; PHOENIX; 34; CYAN; 10; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; RESTAURANT; 34; CYAN; 10; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; IVY; 24; BLACK; 45; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; IVY; 36; RED; 9; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; MUSIC; 37; RED; 12; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; ESTABLISHMENT; 28; BLACK; 21; 50
Sophie; Sat Mar 29 18:39:46 GMT 2014; 51.5140 N  0.1284 W; Saville Theatre; BUILDINGS; 50; MAGENTA; 3; 50
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; BUILDING’S; 54; RED; 2; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; MADONNA; 48; GREEN; 3; 50
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; GRAHAM; 33; RED; 19; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; WESTWAY; 39; GREEN; 8; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; WESTWAY; 39; BLACK; 8; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; DJ; 39; RED; 8; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; DEVELOPMENT; 35; RED; 15; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; MOTORWAY; 39; BLACK; 8; 33
Sophie; Sun Mar 30 15:20:46 GMT+01:00 2014; 51.5209 N  0.2014 W; Westbourne Studios; REAL; 25; BLUE; 30; 33
Sophie; Thu Apr 03 14:37:47 GMT+01:00 2014; 51.5645 N  0.1040 W; Finsbury Park station; TRANSPORT; 26; MAGENTA; 24; 50
Sophie; Thu Apr 03 14:37:47 GMT+01:00 2014; 51.5645 N  0.1040 W; Finsbury Park station; TRANSPORT; 26; BLUE; 24; 50
Sophie; Thu Apr 03 14:43:10 GMT+01:00 2014; 51.5529 N  0.0980 W; Highbury; ARSENAL; 37; RED; 3; 50
Sophie; Thu Apr 03 14:43:10 GMT+01:00 2014; 51.5529 N  0.0980 W; Highbury; FYSH; 46; BLACK; 1; 50
